"date","sentiment_category","count"
"2024-08-01","negative",1
"2024-08-01","positive",1
"2024-08-02","negative",1
"2024-08-02","positive",1
"2024-08-03","negative",1
"2024-08-04","neutral",1
"2024-08-04","unknown",1
"2024-08-05","positive",1
"2024-08-06","positive",1
"2024-08-07","negative",1
"2024-08-07","positive",3
"2024-08-08","negative",1
"2024-08-08","positive",1
"2024-08-09","neutral",1
"2024-08-13","positive",1
"2024-08-15","negative",2
"2024-08-16","positive",2
"2024-08-17","positive",1
"2024-08-17","unknown",1
"2024-08-18","negative",1
"2024-08-18","positive",1
"2024-08-20","positive",1
"2024-08-21","negative",2
"2024-08-21","neutral",1
"2024-08-21","positive",3
"2024-08-22","negative",1
"2024-08-22","neutral",1
"2024-08-22","positive",2
"2024-08-23","negative",1
"2024-08-23","positive",3
"2024-08-24","neutral",1
"2024-08-24","positive",1
"2024-08-25","negative",1
"2024-08-25","neutral",1
"2024-08-25","positive",2
"2024-08-26","positive",1
"2024-08-27","negative",1
"2024-08-27","positive",1
"2024-08-28","negative",2
"2024-08-28","neutral",1
"2024-08-28","positive",1
"2024-08-29","negative",3
"2024-08-29","positive",4
"2024-08-30","negative",2
"2024-09-01","negative",1
"2024-09-01","neutral",2
"2024-09-01","positive",4
"2024-09-03","negative",1
"2024-09-03","positive",3
"2024-09-04","positive",3
"2024-09-05","negative",1
"2024-09-05","neutral",2
"2024-09-05","positive",2
"2024-09-06","negative",1
"2024-09-06","neutral",2
"2024-09-06","positive",3
"2024-09-07","neutral",1
"2024-09-07","positive",9
"2024-09-08","negative",1
"2024-09-08","neutral",1
"2024-09-09","negative",1
"2024-09-09","neutral",1
"2024-09-09","positive",1
"2024-09-11","negative",1
"2024-09-11","unknown",1
"2024-09-12","negative",1
"2024-09-12","neutral",1
"2024-09-12","positive",7
"2024-09-12","unknown",1
"2024-09-13","negative",2
"2024-09-13","positive",4
"2024-09-15","negative",3
"2024-09-16","positive",3
"2024-09-17","negative",1
"2024-09-19","negative",3
"2024-09-19","neutral",2
"2024-09-19","positive",3
"2024-09-21","negative",5
"2024-09-21","positive",8
"2024-09-22","negative",2
"2024-09-22","positive",4
"2024-09-23","negative",3
"2024-09-23","neutral",1
"2024-09-23","positive",2
"2024-09-24","neutral",1
"2024-09-25","positive",1
"2024-09-26","negative",1
"2024-09-26","neutral",2
"2024-09-26","positive",1
"2024-09-26","unknown",2
"2024-09-27","positive",1
"2024-09-28","negative",1
"2024-09-29","positive",2
"2024-09-30","neutral",2
"2024-09-30","positive",2
"2024-10-01","negative",1
"2024-10-01","neutral",2
"2024-10-01","positive",4
"2024-10-02","neutral",1
"2024-10-02","positive",4
"2024-10-03","negative",2
"2024-10-03","neutral",2
"2024-10-03","positive",3
"2024-10-04","positive",2
"2024-10-04","unknown",1
"2024-10-05","negative",1
"2024-10-05","neutral",2
"2024-10-05","positive",1
"2024-10-06","negative",1
"2024-10-06","neutral",4
"2024-10-06","positive",7
"2024-10-07","negative",1
"2024-10-07","neutral",5
"2024-10-07","positive",10
"2024-10-08","neutral",1
"2024-10-08","positive",4
"2024-10-09","negative",3
"2024-10-09","neutral",2
"2024-10-09","positive",8
"2024-10-09","unknown",1
"2024-10-10","neutral",5
"2024-10-10","positive",5
"2024-10-11","negative",1
"2024-10-11","neutral",1
"2024-10-11","positive",1
"2024-10-12","neutral",3
"2024-10-12","positive",1
"2024-10-12","unknown",1
"2024-10-13","negative",1
"2024-10-13","positive",6
"2024-10-14","neutral",1
"2024-10-14","positive",1
"2024-10-15","positive",1
"2024-10-15","unknown",1
"2024-10-17","positive",1
"2024-10-18","negative",1
"2024-10-18","positive",2
"2024-10-19","negative",1
"2024-10-19","positive",2
"2024-10-20","negative",1
"2024-10-21","negative",2
"2024-10-21","positive",1
"2024-10-23","positive",3
"2024-10-24","negative",2
"2024-10-24","positive",3
"2024-10-25","positive",2
"2024-10-26","negative",1
"2024-10-27","negative",1
"2024-10-27","positive",1
"2024-10-28","positive",2
"2024-10-29","neutral",2
"2024-10-30","negative",2
"2024-10-30","neutral",1
"2024-10-31","negative",1
"2024-10-31","neutral",1
"2024-10-31","positive",1
"2024-11-01","neutral",1
"2024-11-02","negative",1
"2024-11-02","neutral",1
"2024-11-02","positive",2
"2024-11-02","unknown",1
"2024-11-03","positive",3
"2024-11-03","unknown",1
"2024-11-04","negative",1
"2024-11-04","neutral",1
"2024-11-04","positive",1
"2024-11-05","negative",1
"2024-11-05","neutral",1
"2024-11-05","positive",2
"2024-11-06","positive",2
"2024-11-07","positive",2
"2024-11-14","neutral",1
"2024-11-14","positive",1
"2024-11-15","positive",3
"2024-11-16","neutral",1
"2024-11-16","positive",5
"2024-11-17","neutral",1
"2024-11-17","positive",2
"2024-11-18","negative",1
"2024-11-18","positive",1
"2024-11-19","negative",1
"2024-11-19","positive",1
"2024-11-21","positive",1
"2024-11-21","unknown",1
"2024-11-22","positive",1
"2024-11-24","unknown",1
"2024-11-26","positive",2
"2024-11-27","neutral",1
"2024-11-27","positive",2
"2024-11-28","negative",3
"2024-11-28","neutral",1
"2024-11-28","positive",2
"2024-11-28","unknown",1
"2024-11-29","negative",2
"2024-11-29","positive",1
"2024-11-29","unknown",1
"2024-11-30","negative",3
"2024-11-30","positive",3
"2024-11-30","unknown",1
"2024-12-02","neutral",1
"2024-12-02","positive",2
"2024-12-03","negative",1
"2024-12-03","positive",2
"2024-12-04","negative",1
"2024-12-04","unknown",1
"2024-12-05","negative",2
"2024-12-05","neutral",1
"2024-12-05","positive",1
"2024-12-06","negative",1
"2024-12-06","neutral",1
"2024-12-06","positive",5
"2024-12-07","positive",5
"2024-12-08","neutral",1
"2024-12-08","positive",4
"2024-12-09","negative",2
"2024-12-09","neutral",1
"2024-12-10","negative",2
"2024-12-11","negative",4
"2024-12-11","positive",14
"2024-12-12","negative",1
"2024-12-12","neutral",2
"2024-12-12","positive",3
"2024-12-12","unknown",1
"2024-12-13","negative",1
"2024-12-13","neutral",1
"2024-12-13","positive",5
"2024-12-14","negative",1
"2024-12-14","positive",4
"2024-12-15","neutral",1
"2024-12-15","positive",5
"2024-12-15","unknown",1
"2024-12-16","negative",2
"2024-12-16","neutral",1
"2024-12-16","positive",4
"2024-12-17","neutral",1
"2024-12-17","positive",3
"2024-12-18","neutral",1
"2024-12-18","positive",2
"2024-12-19","negative",1
"2024-12-19","neutral",1
"2024-12-19","positive",1
"2024-12-20","positive",1
"2024-12-21","positive",1
"2024-12-22","negative",1
"2024-12-22","positive",6
"2024-12-23","negative",2
"2024-12-23","neutral",1
"2024-12-23","positive",5
"2024-12-24","neutral",2
"2024-12-24","positive",5
"2024-12-25","negative",4
"2024-12-25","positive",8
"2024-12-25","unknown",1
"2024-12-26","negative",2
"2024-12-26","neutral",1
"2024-12-26","positive",9
"2024-12-27","negative",1
"2024-12-27","positive",1
"2024-12-28","neutral",1
"2024-12-28","positive",3
"2024-12-29","negative",2
"2024-12-29","positive",3
"2024-12-30","negative",2
"2024-12-30","neutral",2
"2024-12-30","positive",1
"2024-12-31","neutral",2
"2025-01-01","negative",2
"2025-01-01","positive",3
"2025-01-02","negative",1
"2025-01-02","neutral",2
"2025-01-02","positive",6
"2025-01-03","negative",2
"2025-01-03","neutral",1
"2025-01-03","positive",1
"2025-01-04","negative",3
"2025-01-04","neutral",4
"2025-01-04","positive",2
"2025-01-05","negative",2
"2025-01-05","neutral",1
"2025-01-05","positive",8
"2025-01-06","positive",5
"2025-01-06","unknown",3
"2025-01-07","positive",3
"2025-01-07","unknown",1
"2025-01-08","negative",1
"2025-01-08","neutral",1
"2025-01-08","unknown",1
"2025-01-09","negative",1
"2025-01-09","positive",3
"2025-01-10","negative",1
"2025-01-10","positive",7
"2025-01-10","unknown",2
"2025-01-11","negative",2
"2025-01-11","positive",8
"2025-01-12","neutral",2
"2025-01-12","positive",3
"2025-01-13","positive",7
"2025-01-14","negative",1
"2025-01-14","positive",6
"2025-01-14","unknown",1
"2025-01-15","positive",4
"2025-01-16","neutral",1
"2025-01-16","positive",3
"2025-01-16","unknown",1
"2025-01-17","positive",3
"2025-01-18","neutral",2
"2025-01-18","positive",1
"2025-01-19","negative",1
"2025-01-19","neutral",1
"2025-01-19","positive",5
"2025-01-20","positive",7
"2025-01-21","negative",1
"2025-01-21","neutral",2
"2025-01-21","positive",3
"2025-01-22","negative",2
"2025-01-22","neutral",1
"2025-01-22","positive",3
"2025-01-22","unknown",2
"2025-01-23","negative",1
"2025-01-23","positive",1
